nu,I,tau,Gamma',E',J',Ka',Kc',GammaRot',v1',v2',v3',v4',v5',v6',GammaVib',,"Gamma ""","E""","J""","GammaVib""","Ka""","Kc""","GammaRot""",
6507.827096,3.86E-24,4.95E-03,B1,6644.924326,11,2,9,A2,3,0,0,1,0,0,B2,<-,B2,137.09723,10,A1,1,10,B2,
6507.908317,1.62E-24,3.83E-03,B2,6771.36061,11,3,8,B2,0,0,1,1,0,2,A1,<-,B1,263.452293,12,A1,3,9,B1,
6507.97268,1.41E-24,3.34E-03,B1,6771.3167,11,3,9,B1,0,0,1,1,0,2,A1,<-,B2,263.34402,12,A1,3,10,B2,
6507.976272,2.57E-24,1.40E-02,A2,6565.055951,5,3,3,B1,3,0,0,1,0,0,B2,<-,A1,57.079679,4,A1,2,2,A1,
6508.012642,2.56E-24,1.40E-02,A1,6565.056616,5,3,2,B2,3,0,0,1,0,0,B2,<-,A2,57.043974,4,A1,2,3,A2,
6508.708249,4.20E-24,1.38E-02,B2,6913.803431,16,4,12,A1,3,0,0,1,0,0,B2,<-,B1,405.095182,16,A1,3,13,B1,
6508.978256,1.06E-24,3.30E-02,B1,7301.456988,11,10,1,A2,3,0,0,1,0,0,B2,<-,B2,792.478732,10,A1,9,2,B2,
6508.978256,1.06E-24,3.30E-02,B2,7301.456988,11,10,2,A1,3,0,0,1,0,0,B2,<-,B1,792.478732,10,A1,9,1,B1,
6509.257127,4.21E-24,1.38E-02,B1,6913.780792,16,4,13,A2,3,0,0,1,0,0,B2,<-,B2,404.523665,16,A1,3,14,B2,
6509.652896,4.71E-24,1.36E-02,B1,6875.621329,15,4,11,A2,3,0,0,1,0,0,B2,<-,B2,365.968433,15,A1,3,12,B2,
6509.832096,1.31E-24,1.13E-02,A2,6750.041712,8,3,6,B2,0,0,2,0,0,1,B1,<-,A1,240.209616,9,A1,4,6,A1,
6509.843595,1.31E-24,1.13E-02,A1,6750.053426,8,3,5,B1,0,0,2,0,0,1,B1,<-,A2,240.209831,9,A1,4,5,A2,
6510.033746,4.72E-24,1.36E-02,B2,6875.607676,15,4,12,A1,3,0,0,1,0,0,B2,<-,B1,365.57393,15,A1,3,13,B1,
6510.089507,2.56E-24,1.25E-02,A1,6579.357263,6,3,4,B2,3,0,0,1,0,0,B2,<-,A2,69.267756,5,A1,2,3,A2,
6510.174687,2.56E-24,1.25E-02,A2,6579.359253,6,3,3,B1,3,0,0,1,0,0,B2,<-,A1,69.184566,5,A1,2,4,A1,
6510.402756,1.55E-24,3.48E-03,B2,6744.545816,10,3,8,B2,0,0,1,1,0,2,A1,<-,B1,234.14306,11,A1,3,9,B1,
6510.468001,1.64E-24,3.69E-03,B1,6744.676267,10,3,7,B1,0,0,1,1,0,2,A1,<-,B2,234.208266,11,A1,3,8,B2,
6510.511415,5.19E-24,1.34E-02,B2,6839.836303,14,4,10,A1,3,0,0,1,0,0,B2,<-,B1,329.324888,14,A1,3,11,B1,
6510.748687,1.31E-24,2.19E-03,B1,6684.137431,10,0,10,A1,0,1,0,0,2,1,B1,<-,B2,173.388744,11,A1,1,10,B2,
6510.768379,5.21E-24,1.35E-02,B1,6839.828356,14,4,11,A2,3,0,0,1,0,0,B2,<-,B2,329.059977,14,A1,3,12,B2,
6511.273825,2.70E-24,3.61E-03,B2,6674.084518,12,2,10,A1,3,0,0,1,0,0,B2,<-,B1,162.810693,11,A1,1,11,B1,
