nu,I,tau,Gamma',E',J',Ka',Kc',GammaRot',v1',v2',v3',v4',v5',v6',GammaVib',,"Gamma ""","E""","J""","GammaVib""","Ka""","Kc""","GammaRot""",
6567.677498,2.43E-24,8.60E-03,B2,6665.636837,3,3,0,B2,0,0,1,1,0,2,A1,<-,B1,97.959339,4,A1,3,1,B1,
6567.684775,1.68E-24,1.21E-02,A2,6636.869341,4,2,2,A1,0,2,0,0,0,1,A2,<-,A1,69.184566,5,A1,2,4,A1,
6568.054864,1.21E-24,2.19E-03,B2,6771.36061,11,3,8,B2,0,0,1,1,0,2,A1,<-,B1,203.305746,12,A1,1,11,B1,
6568.1675,1.94E-24,2.16E-02,B2,7128.053643,10,6,4,A1,0,0,2,1,0,0,B2,<-,B1,559.886143,11,A1,7,5,B1,
6568.167523,1.94E-24,2.16E-02,B1,7128.053666,10,6,5,A2,0,0,2,1,0,0,B2,<-,B2,559.886143,11,A1,7,4,B2,
6568.26903,2.71E-24,5.80E-03,B1,6614.095605,4,1,4,B2,0,2,0,0,0,1,A2,<-,B2,45.826575,5,A1,1,4,B2,
6568.286655,1.18E-24,2.36E-03,B1,6599.95926,4,2,3,A2,0,1,0,1,0,2,B2,<-,B2,31.672605,4,A1,1,4,B2,
6568.32985,1.02E-24,6.06E-03,A1,6824.588934,13,1,13,B1,0,0,2,0,0,1,B1,<-,A2,256.259084,13,A1,2,11,A2,
6568.492962,4.24E-24,7.20E-03,B2,6642.382482,6,1,5,B1,0,2,0,0,0,1,A2,<-,B1,73.88952,7,A1,1,7,B1,
6568.613757,1.84E-24,3.78E-03,B2,6832.06605,13,3,10,B2,0,0,1,1,0,2,A1,<-,B1,263.452293,12,A1,3,9,B1,
6568.693593,1.34E-24,2.31E-03,B2,6612.099719,5,2,4,A1,0,1,0,1,0,2,B2,<-,B1,43.406126,5,A1,1,5,B1,
6568.857756,9.35E-24,4.22E-02,B1,6809.635377,5,5,1,B1,0,0,1,1,0,2,A1,<-,B2,240.777621,5,A1,5,0,B2,
6568.857757,9.35E-24,4.22E-02,B2,6809.635378,5,5,0,B2,0,0,1,1,0,2,A1,<-,B1,240.777621,5,A1,5,1,B1,
6568.869092,7.25E-24,2.97E-02,B2,6824.216051,6,5,2,B2,0,0,1,1,0,2,A1,<-,B1,255.346959,6,A1,5,1,B1,
6568.869108,7.25E-24,2.97E-02,B1,6824.216067,6,5,1,B1,0,0,1,1,0,2,A1,<-,B2,255.346959,6,A1,5,2,B2,
6568.881169,5.67E-24,2.19E-02,B1,6841.226336,7,5,3,B1,0,0,1,1,0,2,A1,<-,B2,272.345167,7,A1,5,2,B2,
6568.881399,5.68E-24,2.19E-02,B2,6841.226566,7,5,2,B2,0,0,1,1,0,2,A1,<-,B1,272.345167,7,A1,5,3,B1,
6568.889541,3.28E-24,1.22E-02,B2,6882.51896,9,5,4,B2,0,0,1,1,0,2,A1,<-,B1,313.629419,9,A1,5,5,B1,
6568.890375,3.27E-24,1.22E-02,B1,6882.519795,9,5,5,B1,0,0,1,1,0,2,A1,<-,B2,313.62942,9,A1,5,4,B2,
6568.89373,4.46E-24,1.67E-02,B1,6860.66627,8,5,3,B1,0,0,1,1,0,2,A1,<-,B2,291.77254,8,A1,5,4,B2,
6568.89467,4.45E-24,1.66E-02,B2,6860.667211,8,5,4,B2,0,0,1,1,0,2,A1,<-,B1,291.772541,8,A1,5,3,B1,
6568.937299,2.71E-24,1.03E-02,B1,6906.853484,10,5,5,B1,0,0,1,1,0,2,A1,<-,B2,337.916185,10,A1,5,6,B2,
6568.938369,1.97E-24,4.04E-03,B1,6832.282389,13,3,11,B1,0,0,1,1,0,2,A1,<-,B2,263.34402,12,A1,3,10,B2,
6568.938584,2.71E-24,1.03E-02,B2,6906.854772,10,5,6,B2,0,0,1,1,0,2,A1,<-,B1,337.916188,10,A1,5,5,B1,
6568.948784,2.13E-24,8.40E-03,B2,6933.582042,11,5,6,B2,0,0,1,1,0,2,A1,<-,B1,364.633258,11,A1,5,7,B1,
6568.950864,2.13E-24,8.40E-03,B1,6933.584132,11,5,7,B1,0,0,1,1,0,2,A1,<-,B2,364.633268,11,A1,5,6,B2,
6568.962591,1.65E-24,6.89E-03,B1,6962.743695,12,5,7,B1,0,0,1,1,0,2,A1,<-,B2,393.781104,12,A1,5,8,B2,
6568.966026,1.65E-24,6.89E-03,B2,6962.747153,12,5,8,B2,0,0,1,1,0,2,A1,<-,B1,393.781127,12,A1,5,7,B1,
6568.975491,1.26E-24,5.70E-03,B2,6994.335717,13,5,8,B2,0,0,1,1,0,2,A1,<-,B1,425.360226,13,A1,5,9,B1,
6568.980936,1.26E-24,5.70E-03,B1,6994.341212,13,5,9,B1,0,0,1,1,0,2,A1,<-,B2,425.360276,13,A1,5,8,B2,
6569.088075,1.15E-24,3.93E-03,B2,6591.370112,2,1,2,B2,1,0,0,1,1,2,A1,<-,B1,22.282037,3,A1,1,3,B1,
6569.188016,1.40E-24,2.20E-03,B1,6626.66761,6,2,5,A2,0,1,0,1,0,2,B2,<-,B2,57.479594,6,A1,1,6,B2,
6569.188067,1.09E-24,5.98E-03,A2,6793.265294,12,1,11,B1,0,1,0,3,0,0,B2,<-,A1,224.077227,12,A1,2,10,A1,
6569.645775,1.04E-24,1.71E-03,B2,6602.932408,5,1,4,B2,1,0,0,2,2,0,A1,<-,B1,33.286633,4,A1,1,3,B1,
6569.761455,1.14E-24,5.90E-03,A1,6764.193677,11,1,10,B2,0,1,0,3,0,0,B2,<-,A2,194.432222,11,A1,2,9,A2,
6569.772204,1.38E-24,2.04E-03,B2,6643.661724,7,2,6,A1,0,1,0,1,0,2,B2,<-,B1,73.88952,7,A1,1,7,B1,
6570.037282,3.72E-24,6.90E-03,B1,6627.516876,5,1,4,B2,0,2,0,0,0,1,A2,<-,B2,57.479594,6,A1,1,6,B2,
6570.039419,1.08E-24,5.45E-03,A1,6671.069509,7,1,6,B2,0,1,0,3,0,0,B2,<-,A2,101.03009,7,A1,2,5,A2,
6570.083969,1.17E-24,5.81E-03,A2,6737.399991,10,1,9,B1,0,1,0,3,0,0,B2,<-,A1,167.316022,10,A1,2,8,A1,
6570.171576,1.14E-24,5.58E-03,A2,6690.798793,8,1,7,B1,0,1,0,3,0,0,B2,<-,A1,120.627217,8,A1,2,6,A1,
6570.191889,1.27E-24,1.11E-02,A2,6627.271568,3,2,2,A1,0,2,0,0,0,1,A2,<-,A1,57.079679,4,A1,2,2,A1,
6570.200256,2.15E-24,2.33E-02,B1,7103.403421,9,6,3,A2,0,0,2,1,0,0,B2,<-,B2,533.203165,10,A1,7,4,B2,
6570.200262,2.15E-24,2.33E-02,B2,7103.403427,9,6,4,A1,0,0,2,1,0,0,B2,<-,B1,533.203165,10,A1,7,3,B1,
6570.203073,1.17E-24,5.71E-03,A1,6712.921384,9,1,8,B2,0,1,0,3,0,0,B2,<-,A2,142.718311,9,A1,2,7,A2,
6570.230804,1.97E-24,3.37E-03,B1,6743.619548,10,0,10,A1,0,0,2,0,0,1,B1,<-,B2,173.388744,11,A1,1,10,B2,
6570.232777,1.27E-24,1.11E-02,A1,6627.276751,3,2,1,A2,0,2,0,0,0,1,A2,<-,A2,57.043974,4,A1,2,3,A2,
6570.27302,5.24E-24,2.00E-02,B2,6811.050641,6,6,0,A1,3,0,0,1,0,0,B2,<-,B1,240.777621,5,A1,5,1,B1,
6570.27302,5.24E-24,2.00E-02,B1,6811.050641,6,6,1,A2,3,0,0,1,0,0,B2,<-,B2,240.777621,5,A1,5,0,B2,
6570.447965,1.30E-24,1.84E-03,B1,6663.079958,8,2,7,A2,0,1,0,1,0,2,B2,<-,B2,92.631993,8,A1,1,8,B2,
6570.922494,1.72E-24,3.84E-03,B1,6866.078004,14,3,11,B1,0,0,1,1,0,2,A1,<-,B2,295.15551,13,A1,3,10,B2,
6571.216479,1.15E-24,1.63E-03,B2,6684.919224,9,2,8,A1,0,1,0,1,0,2,B2,<-,B1,113.702745,9,A1,1,9,B1,
6571.287523,1.57E-24,2.68E-03,B1,6744.676267,10,3,7,B1,0,0,1,1,0,2,A1,<-,B2,173.388744,11,A1,1,10,B2,
6571.289246,2.30E-24,5.95E-03,B2,6604.575879,3,1,3,B1,0,2,0,0,0,1,A2,<-,B1,33.286633,4,A1,1,3,B1,
6571.509961,1.71E-24,3.82E-03,B2,6866.493049,14,3,12,B2,0,0,1,1,0,2,A1,<-,B1,294.983088,13,A1,3,11,B1,
6571.712199,3.16E-24,6.68E-03,B2,6615.118325,4,1,3,B1,0,2,0,0,0,1,A2,<-,B1,43.406126,5,A1,1,5,B1,
6571.974215,1.24E-24,1.83E-03,B1,6617.80079,6,1,5,B1,1,0,0,2,2,0,A1,<-,B2,45.826575,5,A1,1,4,B2,
6572.052324,2.20E-24,5.56E-03,B2,6919.376626,16,0,16,A1,0,1,0,3,0,0,B2,<-,B1,347.324302,16,A1,1,15,B1,
6572.130153,2.37E-24,2.55E-02,B2,7081.075818,8,6,2,A1,0,0,2,1,0,0,B2,<-,B1,508.945665,9,A1,7,3,B1,
6572.130162,2.36E-24,2.55E-02,B1,7081.075827,8,6,3,A2,0,0,2,1,0,0,B2,<-,B2,508.945665,9,A1,7,2,B2,
6572.262016,1.03E-24,3.35E-03,B1,6582.96252,2,2,1,A2,0,1,0,1,0,2,B2,<-,B2,10.700504,1,A1,1,0,B2,
6572.335667,4.91E-24,1.75E-02,B1,6827.682626,7,6,1,A2,3,0,0,1,0,0,B2,<-,B2,255.346959,6,A1,5,2,B2,
6572.335667,4.91E-24,1.75E-02,B2,6827.682626,7,6,2,A1,3,0,0,1,0,0,B2,<-,B1,255.346959,6,A1,5,1,B1,
6572.41807,1.05E-24,3.40E-03,B2,6582.957131,2,2,0,A1,0,1,0,1,0,2,B2,<-,B1,10.539061,1,A1,1,1,B1,
6572.447923,2.55E-24,5.66E-03,B1,6880.142735,15,0,15,A2,0,1,0,3,0,0,B2,<-,B2,307.694812,15,A1,1,14,B2,
6572.778693,2.86E-24,5.67E-03,B2,6843.250611,14,0,14,A1,0,1,0,3,0,0,B2,<-,B1,270.471918,14,A1,1,13,B1,
6573.060043,3.12E-24,5.61E-03,B1,6808.730984,13,0,13,A2,0,1,0,3,0,0,B2,<-,B2,235.670941,13,A1,1,12,B2,
6573.202045,1.56E-24,3.86E-03,B2,6902.526933,15,3,12,B2,0,0,1,1,0,2,A1,<-,B1,329.324888,14,A1,3,11,B1,
6573.309118,3.31E-24,5.50E-03,B2,6776.614864,12,0,12,A1,0,1,0,3,0,0,B2,<-,B1,203.305746,12,A1,1,11,B1,
6573.520194,2.53E-24,6.52E-03,B1,6605.192799,3,1,2,B2,0,2,0,0,0,1,A2,<-,B2,31.672605,4,A1,1,4,B2,
6573.544244,3.38E-24,5.26E-03,B1,6746.932988,11,0,11,A2,0,1,0,3,0,0,B2,<-,B2,173.388744,11,A1,1,10,B2,
6573.714395,1.19E-24,9.34E-03,A1,6792.052863,8,4,4,A1,0,0,1,1,0,2,A1,<-,A2,218.338468,8,A1,4,5,A2,
6573.714765,1.19E-24,9.34E-03,A2,6792.053316,8,4,5,A2,0,0,1,1,0,2,A1,<-,A1,218.338551,8,A1,4,4,A1,
6573.721706,1.49E-24,1.21E-02,A2,6772.621438,7,4,3,A2,0,0,1,1,0,2,A1,<-,A1,198.899732,7,A1,4,4,A1,
6573.721825,1.49E-24,1.21E-02,A1,6772.621584,7,4,4,A1,0,0,1,1,0,2,A1,<-,A2,198.899759,7,A1,4,3,A2,
6573.727036,1.88E-24,1.62E-02,A1,6755.619647,6,4,2,A1,0,0,1,1,0,2,A1,<-,A2,181.892611,6,A1,4,3,A2,
6573.727066,1.88E-24,1.62E-02,A2,6755.619685,6,4,3,A2,0,0,1,1,0,2,A1,<-,A1,181.892619,6,A1,4,2,A1,
6573.730869,2.40E-24,2.28E-02,A2,6741.047271,5,4,1,A2,0,0,1,1,0,2,A1,<-,A1,167.316402,5,A1,4,2,A1,
6573.730876,2.40E-24,2.28E-02,A1,6741.047279,5,4,2,A1,0,0,1,1,0,2,A1,<-,A2,167.316403,5,A1,4,1,A2,
6573.733587,3.13E-24,3.42E-02,A1,6728.904082,4,4,0,A1,0,0,1,1,0,2,A1,<-,A2,155.170495,4,A1,4,1,A2,
6573.733587,3.13E-24,3.42E-02,A2,6728.904083,4,4,1,A2,0,0,1,1,0,2,A1,<-,A1,155.170496,4,A1,4,0,A1,
6573.773633,3.40E-24,5.08E-03,B2,6719.704569,10,0,10,A1,0,1,0,3,0,0,B2,<-,B1,145.930936,10,A1,1,9,B1,
6573.848603,1.57E-24,2.59E-03,B2,6719.779539,9,0,9,A2,0,0,2,0,0,1,B1,<-,B1,145.930936,10,A1,1,9,B1,
6573.92995,2.62E-24,2.87E-02,B1,7061.043666,7,6,1,A2,0,0,2,1,0,0,B2,<-,B2,487.113716,8,A1,7,2,B2,
6573.929951,2.62E-24,2.87E-02,B2,7061.043667,7,6,2,A1,0,0,2,1,0,0,B2,<-,B1,487.113716,8,A1,7,1,B1,
6574.015137,3.28E-24,4.80E-03,B1,6694.957127,9,0,9,A2,0,1,0,3,0,0,B2,<-,B2,120.94199,9,A1,1,8,B2,
6574.129772,1.42E-24,3.50E-03,B1,6903.189749,15,3,13,B1,0,0,1,1,0,2,A1,<-,B2,329.059977,14,A1,3,12,B2,
6574.184611,1.74E-24,6.02E-03,B1,6597.435202,2,1,2,B2,0,2,0,0,0,1,A2,<-,B2,23.250591,3,A1,1,2,B2,
6574.273055,3.06E-24,4.48E-03,B2,6672.703383,8,0,8,A1,0,1,0,3,0,0,B2,<-,B1,98.430328,8,A1,1,7,B1,
6574.280297,1.40E-24,1.94E-03,B2,6635.147186,7,1,6,B2,1,0,0,2,2,0,A1,<-,B1,60.866889,6,A1,1,5,B1,
6574.346272,4.59E-24,1.57E-02,B2,6846.691439,8,6,2,A1,3,0,0,1,0,0,B2,<-,B1,272.345167,7,A1,5,3,B1,
6574.346272,4.59E-24,1.57E-02,B1,6846.691439,8,6,3,A2,3,0,0,1,0,0,B2,<-,B2,272.345167,7,A1,5,2,B2,
6574.523979,2.34E-24,3.86E-03,B2,6720.454915,9,0,9,A2,0,0,2,0,0,1,B1,<-,B1,145.930936,10,A1,1,9,B1,
6574.525597,1.10E-24,2.61E-03,B2,6590.246802,3,2,2,A1,0,1,0,1,0,2,B2,<-,B1,15.721205,2,A1,1,1,B1,
6574.548931,2.74E-24,4.13E-03,B1,6652.952153,7,0,7,A2,0,1,0,3,0,0,B2,<-,B2,78.403222,7,A1,1,6,B2,
6574.838294,2.37E-24,3.78E-03,B2,6635.705183,6,0,6,A1,0,1,0,3,0,0,B2,<-,B1,60.866889,6,A1,1,5,B1,
6574.946473,1.09E-24,4.87E-03,B2,6847.29164,6,4,2,A1,0,1,0,3,0,0,B2,<-,B1,272.345167,7,A1,5,3,B1,
6574.98324,1.15E-24,2.72E-03,B1,6590.220132,3,2,1,A2,0,1,0,1,0,2,B2,<-,B2,15.236892,2,A1,1,2,B2,
6575.131011,1.96E-24,3.44E-03,B1,6620.957586,5,0,5,A2,0,1,0,3,0,0,B2,<-,B2,45.826575,5,A1,1,4,B2,
6575.412994,1.57E-24,3.17E-03,B2,6608.699627,4,0,4,A1,0,1,0,3,0,0,B2,<-,B1,33.286633,4,A1,1,3,B1,
6575.442961,1.39E-24,3.84E-03,B1,6941.411394,16,3,13,B1,0,0,1,1,0,2,A1,<-,B2,365.968433,15,A1,3,12,B2,
6575.462772,1.85E-24,6.35E-03,B2,6597.744809,2,1,1,B1,0,2,0,0,0,1,A2,<-,B1,22.282037,3,A1,1,3,B1,
6575.542702,2.96E-24,3.41E-02,B2,7043.250083,6,6,0,A1,0,0,2,1,0,0,B2,<-,B1,467.707381,7,A1,7,1,B1,
6575.542702,2.96E-24,3.41E-02,B1,7043.250083,6,6,1,A2,0,0,2,1,0,0,B2,<-,B2,467.707381,7,A1,7,0,B2,
6575.669753,1.22E-24,3.01E-03,B1,6598.920344,3,0,3,A2,0,1,0,3,0,0,B2,<-,B2,23.250591,3,A1,1,2,B2,
6576.304878,4.26E-24,1.43E-02,B2,6868.077419,9,6,4,A1,3,0,0,1,0,0,B2,<-,B1,291.772541,8,A1,5,3,B1,
6576.304879,4.26E-24,1.43E-02,B1,6868.077419,9,6,3,A2,3,0,0,1,0,0,B2,<-,B2,291.77254,8,A1,5,4,B2,
6576.566378,1.53E-24,2.03E-03,B1,6654.9696,8,1,7,B1,1,0,0,2,2,0,A1,<-,B2,78.403222,7,A1,1,6,B2,
6576.583674,1.11E-24,9.66E-03,B1,7085.529339,10,7,3,B1,0,0,1,1,0,2,A1,<-,B2,508.945665,9,A1,7,2,B2,
6576.583676,1.11E-24,9.66E-03,B2,7085.529341,10,7,4,B2,0,0,1,1,0,2,A1,<-,B1,508.945665,9,A1,7,3,B1,
6576.708669,1.17E-24,2.25E-03,B1,6599.95926,4,2,3,A2,0,1,0,1,0,2,B2,<-,B2,23.250591,3,A1,1,2,B2,
6576.953,1.03E-24,5.72E-03,B2,6592.674205,1,1,1,B1,0,2,0,0,0,1,A2,<-,B1,15.721205,2,A1,1,1,B1,
6576.962669,1.03E-24,2.29E-03,B2,6840.414962,12,3,10,B2,0,0,1,1,0,2,A1,<-,B1,263.452293,12,A1,3,9,B1,
6576.999143,1.30E-24,2.74E-03,B1,6811.207409,11,3,9,B1,0,0,1,1,0,2,A1,<-,B2,234.208266,11,A1,3,8,B2,
6577.05465,1.60E-24,3.22E-03,B2,6784.472102,10,3,8,B2,0,0,1,1,0,2,A1,<-,B1,207.417452,10,A1,3,7,B1,
6577.113865,1.95E-24,3.85E-03,B1,6760.188655,9,3,7,B1,0,0,1,1,0,2,A1,<-,B2,183.07479,9,A1,3,6,B2,
6577.171362,2.37E-24,4.71E-03,B2,6738.347409,8,3,6,B2,0,0,1,1,0,2,A1,<-,B1,161.176047,8,A1,3,5,B1,
6577.225544,2.89E-24,5.94E-03,B1,6718.943268,7,3,5,B1,0,0,1,1,0,2,A1,<-,B2,141.717724,7,A1,3,4,B2,
6577.271766,2.82E-24,5.79E-03,B2,6718.984893,7,3,4,B2,0,0,1,1,0,2,A1,<-,B1,141.713127,7,A1,3,5,B1,
6577.275872,3.57E-24,7.77E-03,B2,6701.97283,6,3,4,B2,0,0,1,1,0,2,A1,<-,B1,124.696958,6,A1,3,3,B1,
6577.28544,2.20E-24,4.38E-03,B1,6738.451387,8,3,5,B1,0,0,1,1,0,2,A1,<-,B2,161.165947,8,A1,3,6,B2,
6577.29301,3.54E-24,7.71E-03,B1,6701.988128,6,3,3,B1,0,0,1,1,0,2,A1,<-,B2,124.695118,6,A1,3,4,B2,
6577.32185,4.46E-24,1.07E-02,B1,6687.433291,5,3,3,B1,0,0,1,1,0,2,A1,<-,B2,110.111441,5,A1,3,2,B2,
6577.327294,4.45E-24,1.07E-02,B2,6687.438121,5,3,2,B2,0,0,1,1,0,2,A1,<-,B1,110.110827,5,A1,3,3,B1,
6577.362717,5.72E-24,1.58E-02,B2,6675.322056,4,3,2,B2,0,0,1,1,0,2,A1,<-,B1,97.959339,4,A1,3,1,B1,
6577.364038,5.71E-24,1.58E-02,B1,6675.323223,4,3,1,B1,0,0,1,1,0,2,A1,<-,B2,97.959185,4,A1,3,2,B2,
6577.380011,1.59E-24,3.14E-03,B2,6760.434634,9,3,6,B2,0,0,1,1,0,2,A1,<-,B1,183.054623,9,A1,3,7,B1,
6577.39745,7.67E-24,2.60E-02,B1,6665.636674,3,3,1,B1,0,0,1,1,0,2,A1,<-,B2,88.239224,3,A1,3,0,B2,
6577.397635,7.67E-24,2.60E-02,B2,6665.636837,3,3,0,B2,0,0,1,1,0,2,A1,<-,B1,88.239202,3,A1,3,1,B1,
6577.422427,1.23E-24,5.98E-03,B2,6832.769386,5,4,2,A1,0,1,0,3,0,0,B2,<-,B1,255.346959,6,A1,5,1,B1,
6577.430363,1.28E-24,6.20E-03,B1,6832.777322,5,4,1,A2,0,1,0,3,0,0,B2,<-,B2,255.346959,6,A1,5,2,B2,
6577.540758,1.06E-24,5.87E-03,B1,6592.77765,1,1,0,B2,0,2,0,0,0,1,A2,<-,B2,15.236892,2,A1,1,2,B2,
6577.598444,1.27E-24,2.44E-03,B2,6599.880481,4,2,2,A1,0,1,0,1,0,2,B2,<-,B1,22.282037,3,A1,1,3,B1,
6577.776849,3.50E-24,5.72E-03,B1,6698.718839,8,0,8,A1,0,0,2,0,0,1,B1,<-,B2,120.94199,9,A1,1,8,B2,
6578.151948,1.18E-24,1.06E-02,B2,7111.355113,11,7,4,B2,0,0,1,1,0,2,A1,<-,B1,533.203165,10,A1,7,3,B1,
6578.151951,1.18E-24,1.06E-02,B1,7111.355116,11,7,5,B1,0,0,1,1,0,2,A1,<-,B2,533.203165,10,A1,7,4,B2,
6578.211535,3.91E-24,1.32E-02,B1,6891.840955,10,6,5,A2,3,0,0,1,0,0,B2,<-,B2,313.62942,9,A1,5,4,B2,
6578.211536,3.91E-24,1.32E-02,B2,6891.840955,10,6,4,A1,3,0,0,1,0,0,B2,<-,B1,313.629419,9,A1,5,5,B1,
6578.813086,1.23E-24,2.03E-03,B2,6612.099719,5,2,4,A1,0,1,0,1,0,2,B2,<-,B1,33.286633,4,A1,1,3,B1,
6578.833685,1.62E-24,2.12E-03,B2,6677.264013,9,1,8,B2,1,0,0,2,2,0,A1,<-,B1,98.430328,8,A1,1,7,B1,
6579.750784,1.18E-24,1.11E-02,B1,7139.636927,12,7,5,B1,0,0,1,1,0,2,A1,<-,B2,559.886143,11,A1,7,4,B2,
6579.750793,1.18E-24,1.11E-02,B2,7139.636936,12,7,6,B2,0,0,1,1,0,2,A1,<-,B1,559.886143,11,A1,7,5,B1,
6579.891055,1.42E-24,7.87E-03,B1,6820.668676,4,4,1,A2,0,1,0,3,0,0,B2,<-,B2,240.777621,5,A1,5,0,B2,
6579.891822,1.43E-24,7.90E-03,B2,6820.669443,4,4,0,A1,0,1,0,3,0,0,B2,<-,B1,240.777621,5,A1,5,1,B1,
6580.044098,1.20E-24,1.35E-02,A2,6620.087289,2,2,0,A1,0,2,0,0,0,1,A2,<-,A1,40.043191,2,A1,2,0,A1,
6580.045488,1.20E-24,1.36E-02,A1,6620.086296,2,2,1,A2,0,2,0,0,0,1,A2,<-,A2,40.040808,2,A1,2,1,A2,
6580.066301,3.56E-24,1.24E-02,B2,6917.982489,11,6,6,A1,3,0,0,1,0,0,B2,<-,B1,337.916188,10,A1,5,5,B1,
6580.066303,3.56E-24,1.24E-02,B1,6917.982488,11,6,5,A2,3,0,0,1,0,0,B2,<-,B2,337.916185,10,A1,5,6,B2,
6580.24737,1.40E-24,2.30E-03,B1,6611.919975,5,2,3,A2,0,1,0,1,0,2,B2,<-,B2,31.672605,4,A1,1,4,B2,
6580.708003,1.09E-24,2.46E-02,A2,6925.694464,5,5,1,B1,0,0,2,1,0,0,B2,<-,A1,344.986461,6,A1,6,0,A1,
6580.708003,1.09E-24,2.46E-02,A1,6925.694464,5,5,0,B2,0,0,2,1,0,0,B2,<-,A2,344.986461,6,A1,6,1,A2,
6580.841035,1.27E-24,1.89E-03,B1,6626.66761,6,2,5,A2,0,1,0,1,0,2,B2,<-,B2,45.826575,5,A1,1,4,B2,
6581.017436,4.25E-24,7.08E-03,B2,6679.447764,7,0,7,A2,0,0,2,0,0,1,B1,<-,B1,98.430328,8,A1,1,7,B1,
6581.080934,1.66E-24,2.20E-03,B1,6702.022924,10,1,9,B1,1,0,0,2,2,0,A1,<-,B2,120.94199,9,A1,1,8,B2,
6581.375939,1.14E-24,1.14E-02,B2,7170.370461,13,7,6,B2,0,0,1,1,0,2,A1,<-,B1,588.994522,12,A1,7,5,B1,
6581.375966,1.14E-24,1.14E-02,B1,7170.370488,13,7,7,B1,0,0,1,1,0,2,A1,<-,B2,588.994522,12,A1,7,6,B2,
6581.869225,3.21E-24,1.17E-02,B1,6946.502493,12,6,7,A2,3,0,0,1,0,0,B2,<-,B2,364.633268,11,A1,5,6,B2,
6581.869233,3.21E-24,1.17E-02,B2,6946.502491,12,6,6,A1,3,0,0,1,0,0,B2,<-,B1,364.633258,11,A1,5,7,B1,
6582.215792,1.07E-24,4.52E-03,B1,6920.131977,9,4,6,A1,0,1,1,0,0,1,B1,<-,B2,337.916185,10,A1,5,6,B2,
6582.217742,1.08E-24,4.53E-03,B2,6920.13393,9,4,5,A2,0,1,1,0,0,1,B1,<-,B1,337.916188,10,A1,5,5,B1,
6582.794835,1.28E-24,1.78E-03,B2,6643.661724,7,2,6,A1,0,1,0,1,0,2,B2,<-,B1,60.866889,6,A1,1,5,B1,
6582.912895,1.52E-24,2.23E-03,B2,6626.319021,6,2,4,A1,0,1,0,1,0,2,B2,<-,B1,43.406126,5,A1,1,5,B1,
6583.028038,1.06E-24,1.16E-02,B1,7203.556252,14,7,7,B1,0,0,1,1,0,2,A1,<-,B2,620.528214,13,A1,7,6,B2,
6583.028121,1.06E-24,1.16E-02,B2,7203.556335,14,7,8,B2,0,0,1,1,0,2,A1,<-,B1,620.528214,13,A1,7,7,B1,
6583.300964,1.68E-24,2.30E-03,B2,6729.2319,11,1,10,B2,1,0,0,2,2,0,A1,<-,B1,145.930936,10,A1,1,9,B1,
6583.43843,1.81E-24,6.95E-03,B2,6824.216051,6,5,2,B2,0,0,1,1,0,2,A1,<-,B1,240.777621,5,A1,5,1,B1,
6583.438446,1.81E-24,6.95E-03,B1,6824.216067,6,5,1,B1,0,0,1,1,0,2,A1,<-,B2,240.777621,5,A1,5,0,B2,
6583.62041,2.85E-24,1.11E-02,B2,6977.401537,13,6,8,A1,3,0,0,1,0,0,B2,<-,B1,393.781127,12,A1,5,7,B1,
6583.620429,2.85E-24,1.11E-02,B1,6977.401533,13,6,7,A2,3,0,0,1,0,0,B2,<-,B2,393.781104,12,A1,5,8,B2,
6584.181705,4.49E-24,7.84E-03,B1,6662.584927,6,0,6,A1,0,0,2,0,0,1,B1,<-,B2,78.403222,7,A1,1,6,B2,
6584.676262,1.18E-24,4.94E-03,B2,6898.305681,8,4,5,A2,0,1,1,0,0,1,B1,<-,B1,313.629419,9,A1,5,5,B1,
6584.676736,1.26E-24,1.69E-03,B1,6663.079958,8,2,7,A2,0,1,0,1,0,2,B2,<-,B2,78.403222,7,A1,1,6,B2,
6584.677067,1.18E-24,4.94E-03,B1,6898.306487,8,4,4,A1,0,1,1,0,0,1,B1,<-,B2,313.62942,9,A1,5,4,B2,
6585.319935,2.51E-24,1.06E-02,B1,7010.680211,14,6,9,A2,3,0,0,1,0,0,B2,<-,B2,425.360276,13,A1,5,8,B2,
6585.319975,2.51E-24,1.06E-02,B2,7010.680201,14,6,8,A1,3,0,0,1,0,0,B2,<-,B1,425.360226,13,A1,5,9,B1,
6585.470621,1.68E-24,2.42E-03,B1,6758.859365,12,1,11,B1,1,0,0,2,2,0,A1,<-,B2,173.388744,11,A1,1,10,B2,
6585.579422,1.61E-24,2.19E-03,B1,6643.059016,7,2,5,A2,0,1,0,1,0,2,B2,<-,B2,57.479594,6,A1,1,6,B2,
6585.879377,3.11E-24,1.11E-02,B1,6841.226336,7,5,3,B1,0,0,1,1,0,2,A1,<-,B2,255.346959,6,A1,5,2,B2,
6585.879607,3.11E-24,1.11E-02,B2,6841.226566,7,5,2,B2,0,0,1,1,0,2,A1,<-,B1,255.346959,6,A1,5,1,B1,
6586.05596,1.17E-24,2.28E-03,B1,6821.726901,12,2,10,A1,0,0,2,0,0,1,B1,<-,B2,235.670941,13,A1,1,12,B2,
6586.488896,1.22E-24,1.61E-03,B2,6684.919224,9,2,8,A1,0,1,0,1,0,2,B2,<-,B1,98.430328,8,A1,1,7,B1,
