vibrational_f	angmom_total_f	vibrational_i	angmom_total_i	transition_wavenumber	unc	lambda	unc	einstein_coefficient	unc	Atot	energy_f	unc	Tu	degeneracy
1	3	0	5	3091.201926	1E-05	3.234987632	2E-08	2.08E-07	2.08E-07	8.38E-07	-31286.678077	0.0002	6951.3	21
1	3	0	3	4125.872611	2E-05	2.423729703	1E-08	2.78E-07	2.82E-07	8.38E-07	-31286.678077	0.0002	6951.3	21
1	3	0	1	4712.904636	3E-05	2.121833725	1E-08	3.47E-07	3.47E-07	8.38E-07	-31286.678077	0.0002	6951.3	21
1	3	1	1	557.650874	6E-06	17.932366766	2E-07	4.5E-10	4.5E-10	8.38E-07	-31286.678077	0.0002	6951.3	21
1	4	0	6	2856.482463	1E-05	3.50080917	2E-08	1.5E-07	1.5E-07	8.23E-07	-30846.690083	0.0002	7584.3	9
1	4	0	4	4102.58201	2E-05	2.437489361	1E-08	2.65E-07	2.72E-07	8.23E-07	-30846.690083	0.0002	7584.3	9
1	4	0	2	4917.006312	3E-05	2.033757812	1E-08	3.98E-07	3.98E-07	8.23E-07	-30846.690083	0.0002	7584.3	9
1	4	1	2	773.541019	8E-06	12.927562669	1E-07	2.59E-09	2.59E-09	8.23E-07	-30846.690083	0.0002	7584.3	9
1	5	0	7	2626.451286	1E-05	3.807418799	1E-08	1.06E-07	1.06E-07	8.01E-07	-30304.14778	0.0002	8364.9	33
1	5	0	5	4073.732222	2E-05	2.454751431	1E-08	2.55E-07	2.65E-07	8.01E-07	-30304.14778	0.0002	8364.9	33
1	5	0	3	5108.402907	4E-05	1.957558983	1E-08	4.21E-07	4.21E-07	8.01E-07	-30304.14778	0.0002	8364.9	33
1	5	1	3	982.530296	1E-05	10.177803209	1E-07	9.21E-09	9.21E-09	8.01E-07	-30304.14778	0.0002	8364.9	33
1	6	0	8	2402.445708	8E-06	4.162424968	1E-08	7.36E-08	7.36E-08	7.76E-07	-29663.680839	0.0002	9286.4	13
1	6	0	6	4039.491707	2E-05	2.475558987	1E-08	2.44E-07	2.59E-07	7.76E-07	-29663.680839	0.0002	9286.4	13
1	6	0	4	5285.591254	4E-05	1.891935929	1E-08	4.19E-07	4.19E-07	7.76E-07	-29663.680839	0.0002	9286.4	13
1	6	1	4	1183.009244	1E-05	8.453019324	9E-08	2.46E-08	2.46E-08	7.76E-07	-29663.680839	0.0002	9286.4	13
1	7	0	9	2185.562784	6E-06	4.575480546	1E-08	4.97E-08	4.97E-08	7.53E-07	-28930.543908	0.0002	10341.2	45
1	7	0	7	4000.055159	2E-05	2.499965526	1E-08	2.34E-07	2.54E-07	7.53E-07	-28930.543908	0.0002	10341.2	45
1	7	0	5	5447.336095	4E-05	1.835759686	1E-08	3.95E-07	3.95E-07	7.53E-07	-28930.543908	0.0002	10341.2	45
1	7	1	5	1373.603872	1E-05	7.280119257	7E-08	5.44E-08	5.44E-08	7.53E-07	-28930.543908	0.0002	10341.2	45
1	8	0	10	1976.662037	5E-06	5.059033771	1E-08	3.26E-08	3.26E-08	7.4E-07	-28110.487247	0.0002	11521.1	17
1	8	0	8	3955.6393	2E-05	2.528036366	1E-08	2.23E-07	2.49E-07	7.4E-07	-28110.487247	0.0002	11521.1	17
